Country Name,Capital,Population,Latitude,Longitude
Afghanistan,Kabul,27657145,33,65
Åland Islands,Mariehamn,28875,60.116667,19.9
Albania,Tirana,2886026,41,20
Algeria,Algiers,40400000,28,3
American Samoa,Pago Pago,57100,-14.33333333,-170
Andorra,Andorra la Vella,78014,42.5,1.5
Angola,Luanda,25868000,-12.5,18.5
Anguilla,The Valley,13452,18.25,-63.16666666
Antarctica,,1000,-74.65,4.48
Antigua and Barbuda,Saint John's,86295,17.05,-61.8
Argentina,Buenos Aires,43590400,-34,-64
Armenia,Yerevan,2994400,40,45
Aruba,Oranjestad,107394,12.5,-69.96666666
Australia,Canberra,24117360,-27,133
Austria,Vienna,8725931,47.33333333,13.33333333
Azerbaijan,Baku,9730500,40.5,47.5
Bahamas,Nassau,378040,24.25,-76
Bahrain,Manama,1404900,26,50.55
Bangladesh,Dhaka,161006790,24,90
Barbados,Bridgetown,285000,13.16666666,-59.53333333
Belarus,Minsk,9498700,53,28
Belgium,Brussels,11319511,50.83333333,4
Belize,Belmopan,370300,17.25,-88.75
Benin,Porto-Novo,10653654,9.5,2.25
Bermuda,Hamilton,61954,32.33333333,-64.75
Bhutan,Thimphu,775620,27.5,90.5
Bolivia (Plurinational State of),Sucre,10985059,-17,-65
"Bonaire, Sint Eustatius and Saba",Kralendijk,17408,12.15,-68.266667
Bosnia and Herzegovina,Sarajevo,3531159,44,18
Botswana,Gaborone,2141206,-22,24
Bouvet Island,,0,-54.43333333,3.4
Brazil,Brasília,206135893,-10,-55
British Indian Ocean Territory,Diego Garcia,3000,-6,71.5
United States Minor Outlying Islands,,300,N/A,N/A
Virgin Islands (British),Road Town,28514,18.431383,-64.62305
Virgin Islands (U.S.),Charlotte Amalie,114743,18.34,-64.93
Brunei Darussalam,Bandar Seri Begawan,411900,4.5,114.66666666
Bulgaria,Sofia,7153784,43,25
Burkina Faso,Ouagadougou,19034397,13,-2
Burundi,Bujumbura,10114505,-3.5,30
Cambodia,Phnom Penh,15626444,13,105
Cameroon,Yaoundé,22709892,6,12
Canada,Ottawa,36155487,60,-95
Cabo Verde,Praia,531239,16,-24
Cayman Islands,George Town,58238,19.5,-80.5
Central African Republic,Bangui,4998000,7,21
Chad,N'Djamena,14497000,15,19
Chile,Santiago,18191900,-30,-71
China,Beijing,1377422166,35,105
Christmas Island,Flying Fish Cove,2072,-10.5,105.66666666
Cocos (Keeling) Islands,West Island,550,-12.5,96.83333333
Colombia,Bogotá,48759958,4,-72
Comoros,Moroni,806153,-12.16666666,44.25
Congo,Brazzaville,4741000,-1,15
Congo (Democratic Republic of the),Kinshasa,85026000,0,25
Cook Islands,Avarua,18100,-21.23333333,-159.76666666
Costa Rica,San José,4890379,10,-84
Croatia,Zagreb,4190669,45.16666666,15.5
Cuba,Havana,11239004,21.5,-80
Curaçao,Willemstad,154843,12.116667,-68.933333
Cyprus,Nicosia,847000,35,33
Czech Republic,Prague,10558524,49.75,15.5
Denmark,Copenhagen,5717014,56,10
Djibouti,Djibouti,900000,11.5,43
Dominica,Roseau,71293,15.41666666,-61.33333333
Dominican Republic,Santo Domingo,10075045,19,-70.66666666
Ecuador,Quito,16545799,-2,-77.5
Egypt,Cairo,91290000,27,30
El Salvador,San Salvador,6520675,13.83333333,-88.91666666
Equatorial Guinea,Malabo,1222442,2,10
Eritrea,Asmara,5352000,15,39
Estonia,Tallinn,1315944,59,26
Ethiopia,Addis Ababa,92206005,8,38
Falkland Islands (Malvinas),Stanley,2563,-51.75,-59
Faroe Islands,Tórshavn,49376,62,-7
Fiji,Suva,867000,-18,175
Finland,Helsinki,5491817,64,26
France,Paris,66710000,46,2
French Guiana,Cayenne,254541,4,-53
French Polynesia,Papeetē,271800,-15,-140
French Southern Territories,Port-aux-Français,140,-49.25,69.167
Gabon,Libreville,1802278,-1,11.75
Gambia,Banjul,1882450,13.46666666,-16.56666666
Georgia,Tbilisi,3720400,42,43.5
Germany,Berlin,81770900,51,9
Ghana,Accra,27670174,8,-2
Gibraltar,Gibraltar,33140,36.13333333,-5.35
Greece,Athens,10858018,39,22
Greenland,Nuuk,55847,72,-40
Grenada,St. George's,103328,12.11666666,-61.66666666
Guadeloupe,Basse-Terre,400132,16.25,-61.583333
Guam,Hagåtña,184200,13.46666666,144.78333333
Guatemala,Guatemala City,16176133,15.5,-90.25
Guernsey,St. Peter Port,62999,49.46666666,-2.58333333
Guinea,Conakry,12947000,11,-10
Guinea-Bissau,Bissau,1547777,12,-15
Guyana,Georgetown,746900,5,-59
Haiti,Port-au-Prince,11078033,19,-72.41666666
Heard Island and McDonald Islands,,0,-53.1,72.51666666
Holy See,Rome,451,41.9,12.45
Honduras,Tegucigalpa,8576532,15,-86.5
Hong Kong,City of Victoria,7324300,22.25,114.16666666
Hungary,Budapest,9823000,47,20
Iceland,Reykjavík,334300,65,-18
India,New Delhi,1295210000,20,77
Indonesia,Jakarta,258705000,-5,120
Côte d'Ivoire,Yamoussoukro,22671331,8,-5
Iran (Islamic Republic of),Tehran,79369900,32,53
Iraq,Baghdad,37883543,33,44
Ireland,Dublin,6378000,53,-8
Isle of Man,Douglas,84497,54.25,-4.5
Israel,Jerusalem,8527400,31.5,34.75
Italy,Rome,60665551,42.83333333,12.83333333
Jamaica,Kingston,2723246,18.25,-77.5
Japan,Tokyo,126960000,36,138
Jersey,Saint Helier,100800,49.25,-2.16666666
Jordan,Amman,9531712,31,36
Kazakhstan,Astana,17753200,48,68
Kenya,Nairobi,47251000,1,38
Kiribati,South Tarawa,113400,1.41666666,173
Kuwait,Kuwait City,4183658,29.5,45.75
Kyrgyzstan,Bishkek,6047800,41,75
Lao People's Democratic Republic,Vientiane,6492400,18,105
Latvia,Riga,1961600,57,25
Lebanon,Beirut,5988000,33.83333333,35.83333333
Lesotho,Maseru,1894194,-29.5,28.5
Liberia,Monrovia,4615000,6.5,-9.5
Libya,Tripoli,6385000,25,17
Liechtenstein,Vaduz,37623,47.26666666,9.53333333
Lithuania,Vilnius,2872294,56,24
Luxembourg,Luxembourg,576200,49.75,6.16666666
Macao,,649100,22.16666666,113.55
Macedonia (the former Yugoslav Republic of),Skopje,2058539,41.83333333,22
Madagascar,Antananarivo,22434363,-20,47
Malawi,Lilongwe,16832910,-13.5,34
Malaysia,Kuala Lumpur,31405416,2.5,112.5
Maldives,Malé,344023,3.25,73
Mali,Bamako,18135000,17,-4
Malta,Valletta,425384,35.83333333,14.58333333
Marshall Islands,Majuro,54880,9,168
Martinique,Fort-de-France,378243,14.666667,-61
Mauritania,Nouakchott,3718678,20,-12
Mauritius,Port Louis,1262879,-20.28333333,57.55
Mayotte,Mamoudzou,226915,-12.83333333,45.16666666
Mexico,Mexico City,122273473,23,-102
Micronesia (Federated States of),Palikir,102800,6.91666666,158.25
Moldova (Republic of),Chișinău,3553100,47,29
Monaco,Monaco,38400,43.73333333,7.4
Mongolia,Ulan Bator,3093100,46,105
Montenegro,Podgorica,621810,42.5,19.3
Montserrat,Plymouth,4922,16.75,-62.2
Morocco,Rabat,33337529,32,-5
Mozambique,Maputo,26423700,-18.25,35
Myanmar,Naypyidaw,51419420,22,98
Namibia,Windhoek,2324388,-22,17
Nauru,Yaren,10084,-0.53333333,166.91666666
Nepal,Kathmandu,28431500,28,84
Netherlands,Amsterdam,17019800,52.5,5.75
New Caledonia,Nouméa,268767,-21.5,165.5
New Zealand,Wellington,4697854,-41,174
Nicaragua,Managua,6262703,13,-85
Niger,Niamey,20715000,16,8
Nigeria,Abuja,186988000,10,8
Niue,Alofi,1470,-19.03333333,-169.86666666
Norfolk Island,Kingston,2302,-29.03333333,167.95
Korea (Democratic People's Republic of),Pyongyang,25281000,40,127
Northern Mariana Islands,Saipan,56940,15.2,145.75
Norway,Oslo,5223256,62,10
Oman,Muscat,4420133,21,57
Pakistan,Islamabad,194125062,30,70
Palau,Ngerulmud,17950,7.5,134.5
"Palestine, State of",Ramallah,4682467,31.9,35.2
Panama,Panama City,3814672,9,-80
Papua New Guinea,Port Moresby,8083700,-6,147
Paraguay,Asunción,6854536,-23,-58
Peru,Lima,31488700,-10,-76
Philippines,Manila,103279800,13,122
Pitcairn,Adamstown,56,-25.06666666,-130.1
Poland,Warsaw,38437239,52,20
Portugal,Lisbon,10374822,39.5,-8
Puerto Rico,San Juan,3474182,18.25,-66.5
Qatar,Doha,2587564,25.5,51.25
Republic of Kosovo,Pristina,1733842,42.666667,21.166667
Réunion,Saint-Denis,840974,-21.15,55.5
Romania,Bucharest,19861408,46,25
Russian Federation,Moscow,146599183,60,100
Rwanda,Kigali,11553188,-2,30
Saint Barthélemy,Gustavia,9417,18.5,-63.41666666
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,4255,-15.95,-5.7
Saint Kitts and Nevis,Basseterre,46204,17.33333333,-62.75
Saint Lucia,Castries,186000,13.88333333,-60.96666666
Saint Martin (French part),Marigot,36979,18.08333333,-63.95
Saint Pierre and Miquelon,Saint-Pierre,6069,46.83333333,-56.33333333
Saint Vincent and the Grenadines,Kingstown,109991,13.25,-61.2
Samoa,Apia,194899,-13.58333333,-172.33333333
San Marino,City of San Marino,33005,43.76666666,12.41666666
Sao Tome and Principe,São Tomé,187356,1,7
Saudi Arabia,Riyadh,32248200,25,45
Senegal,Dakar,14799859,14,-14
Serbia,Belgrade,7076372,44,21
Seychelles,Victoria,91400,-4.58333333,55.66666666
Sierra Leone,Freetown,7075641,8.5,-11.5
Singapore,Singapore,5535000,1.36666666,103.8
Sint Maarten (Dutch part),Philipsburg,38247,18.033333,-63.05
Slovakia,Bratislava,5426252,48.66666666,19.5
Slovenia,Ljubljana,2064188,46.11666666,14.81666666
Solomon Islands,Honiara,642000,-8,159
Somalia,Mogadishu,11079000,10,49
South Africa,Pretoria,55653654,-29,24
South Georgia and the South Sandwich Islands,King Edward Point,30,-54.5,-37
Korea (Republic of),Seoul,50801405,37,127.5
South Sudan,Juba,12131000,7,30
Spain,Madrid,46438422,40,-4
Sri Lanka,Colombo,20966000,7,81
Sudan,Khartoum,39598700,15,30
Suriname,Paramaribo,541638,4,-56
Svalbard and Jan Mayen,Longyearbyen,2562,78,20
Swaziland,Lobamba,1132657,-26.5,31.5
Sweden,Stockholm,9894888,62,15
Switzerland,Bern,8341600,47,8
Syrian Arab Republic,Damascus,18564000,35,38
Taiwan,Taipei,23503349,23.5,121
Tajikistan,Dushanbe,8593600,39,71
"Tanzania, United Republic of",Dodoma,55155000,-6,35
Thailand,Bangkok,65327652,15,100
Timor-Leste,Dili,1167242,-8.83333333,125.91666666
Togo,Lomé,7143000,8,1.16666666
Tokelau,Fakaofo,1411,-9,-172
Tonga,Nuku'alofa,103252,-20,-175
Trinidad and Tobago,Port of Spain,1349667,11,-61
Tunisia,Tunis,11154400,34,9
Turkey,Ankara,78741053,39,35
Turkmenistan,Ashgabat,4751120,40,60
Turks and Caicos Islands,Cockburn Town,31458,21.75,-71.58333333
Tuvalu,Funafuti,10640,-8,178
Uganda,Kampala,33860700,1,32
Ukraine,Kiev,42692393,49,32
United Arab Emirates,Abu Dhabi,9856000,24,54
United Kingdom of Great Britain and Northern Ireland,London,65110000,54,-2
United States of America,"Washington, D.C.",323947000,38,-97
Uruguay,Montevideo,3480222,-33,-56
Uzbekistan,Tashkent,31576400,41,64
Vanuatu,Port Vila,277500,-16,167
Venezuela (Bolivarian Republic of),Caracas,31028700,8,-66
Viet Nam,Hanoi,92700000,16.16666666,107.83333333
Wallis and Futuna,Mata-Utu,11750,-13.3,-176.2
Western Sahara,El Aaiún,510713,24.5,-13
Yemen,Sana'a,27478000,15,48
Zambia,Lusaka,15933883,-15,30
Zimbabwe,Harare,14240168,-20,30
